acc_file,gyr_file,Line_Number
J3/J3 VR ACC/hit_9.csv,J3/J3 VR GYR/hit_9.csv,0
J3/J3 VR ACC/hit_6.csv,J3/J3 VR GYR/hit_6.csv,140
J3/J3 Reves ACC/hit_21.csv,J3/J3 Reves GYR/hit_21.csv,300
J3/J3 Smash ACC/hit_10.csv,J3/J3 Smash GYR/hit_10.csv,460
J3/J3 VR ACC/hit_11.csv,J3/J3 VR GYR/hit_11.csv,620
J3/J3 VD ACC/hit_8.csv,J3/J3 VD GYR/hit_8.csv,760
J3/J3 Dretes ACC/hit_1.csv,J3/J3 Dretes GYR/hit_1.csv,900
J3/J3 Reves ACC/hit_15.csv,J3/J3 Reves GYR/hit_15.csv,1100
J3/J3 VD ACC/hit_10.csv,J3/J3 VD GYR/hit_10.csv,1260
J3/J3 Serve ACC/hit_1.csv,J3/J3 Serve GYR/hit_1.csv,1400
J3/J3 Dretes ACC/hit_15.csv,J3/J3 Dretes GYR/hit_15.csv,1560
J3/J3 Reves ACC/hit_13.csv,J3/J3 Reves GYR/hit_13.csv,1735
J3/J3 VR ACC/hit_10.csv,J3/J3 VR GYR/hit_10.csv,1895
J3/J3 VR ACC/hit_4.csv,J3/J3 VR GYR/hit_4.csv,2035
J3/J3 Dretes ACC/hit_24.csv,J3/J3 Dretes GYR/hit_24.csv,2195
J3/J3 VD ACC/hit_13.csv,J3/J3 VD GYR/hit_13.csv,2385
J3/J3 Dretes ACC/hit_17.csv,J3/J3 Dretes GYR/hit_17.csv,2525
J3/J3 Serve ACC/hit_8.csv,J3/J3 Serve GYR/hit_8.csv,2648
J3/J3 VD ACC/hit_1.csv,J3/J3 VD GYR/hit_1.csv,2808
J3/J3 VR ACC/hit_15.csv,J3/J3 VR GYR/hit_15.csv,2948
J3/J3 Reves ACC/hit_28.csv,J3/J3 Reves GYR/hit_28.csv,3088
J3/J3 VR ACC/hit_7.csv,J3/J3 VR GYR/hit_7.csv,3248
J3/J3 VR ACC/hit_14.csv,J3/J3 VR GYR/hit_14.csv,3408
J3/J3 Reves ACC/hit_3.csv,J3/J3 Reves GYR/hit_3.csv,3548
J3/J3 Reves ACC/hit_2.csv,J3/J3 Reves GYR/hit_2.csv,3708
J3/J3 Smash ACC/hit_1.csv,J3/J3 Smash GYR/hit_1.csv,3868
J3/J3 Smash ACC/hit_4.csv,J3/J3 Smash GYR/hit_4.csv,4028
J3/J3 Dretes ACC/hit_6.csv,J3/J3 Dretes GYR/hit_6.csv,4188
J3/J3 Smash ACC/hit_13.csv,J3/J3 Smash GYR/hit_13.csv,4345
J3/J3 Serve ACC/hit_11.csv,J3/J3 Serve GYR/hit_11.csv,4505
J3/J3 Reves ACC/hit_26.csv,J3/J3 Reves GYR/hit_26.csv,4665
J3/J3 VR ACC/hit_0.csv,J3/J3 VR GYR/hit_0.csv,4825
J3/J3 Smash ACC/hit_15.csv,J3/J3 Smash GYR/hit_15.csv,4985
J3/J3 Reves ACC/hit_25.csv,J3/J3 Reves GYR/hit_25.csv,5145
J3/J3 Serve ACC/hit_5.csv,J3/J3 Serve GYR/hit_5.csv,5305
J3/J3 Serve ACC/hit_2.csv,J3/J3 Serve GYR/hit_2.csv,5465
J3/J3 VD ACC/hit_5.csv,J3/J3 VD GYR/hit_5.csv,5625
J3/J3 Smash ACC/hit_12.csv,J3/J3 Smash GYR/hit_12.csv,5765
J3/J3 VR ACC/hit_19.csv,J3/J3 VR GYR/hit_19.csv,5925
J3/J3 Dretes ACC/hit_28.csv,J3/J3 Dretes GYR/hit_28.csv,6065
J3/J3 VR ACC/hit_16.csv,J3/J3 VR GYR/hit_16.csv,6213
J3/J3 Dretes ACC/hit_23.csv,J3/J3 Dretes GYR/hit_23.csv,6353
J3/J3 Dretes ACC/hit_13.csv,J3/J3 Dretes GYR/hit_13.csv,6505
J3/J3 Dretes ACC/hit_7.csv,J3/J3 Dretes GYR/hit_7.csv,6679
J3/J3 Reves ACC/hit_19.csv,J3/J3 Reves GYR/hit_19.csv,6805
J3/J3 Serve ACC/hit_9.csv,J3/J3 Serve GYR/hit_9.csv,6965
J3/J3 Serve ACC/hit_0.csv,J3/J3 Serve GYR/hit_0.csv,7125
J3/J3 Serve ACC/hit_14.csv,J3/J3 Serve GYR/hit_14.csv,7285
J3/J3 Reves ACC/hit_23.csv,J3/J3 Reves GYR/hit_23.csv,7445
J3/J3 Reves ACC/hit_20.csv,J3/J3 Reves GYR/hit_20.csv,7605
J3/J3 Dretes ACC/hit_27.csv,J3/J3 Dretes GYR/hit_27.csv,7765
J3/J3 Reves ACC/hit_16.csv,J3/J3 Reves GYR/hit_16.csv,7903
J3/J3 VR ACC/hit_17.csv,J3/J3 VR GYR/hit_17.csv,8063
J3/J3 VD ACC/hit_12.csv,J3/J3 VD GYR/hit_12.csv,8203
J3/J3 Reves ACC/hit_5.csv,J3/J3 Reves GYR/hit_5.csv,8343
J3/J3 Smash ACC/hit_6.csv,J3/J3 Smash GYR/hit_6.csv,8503
J3/J3 Dretes ACC/hit_21.csv,J3/J3 Dretes GYR/hit_21.csv,8663
J3/J3 Dretes ACC/hit_2.csv,J3/J3 Dretes GYR/hit_2.csv,8817
J3/J3 VD ACC/hit_2.csv,J3/J3 VD GYR/hit_2.csv,9017
J3/J3 Smash ACC/hit_2.csv,J3/J3 Smash GYR/hit_2.csv,9157
J3/J3 Dretes ACC/hit_22.csv,J3/J3 Dretes GYR/hit_22.csv,9317
J3/J3 VR ACC/hit_5.csv,J3/J3 VR GYR/hit_5.csv,9503
J3/J3 Dretes ACC/hit_8.csv,J3/J3 Dretes GYR/hit_8.csv,9663
J3/J3 Dretes ACC/hit_11.csv,J3/J3 Dretes GYR/hit_11.csv,9821
J3/J3 Reves ACC/hit_22.csv,J3/J3 Reves GYR/hit_22.csv,10006
J3/J3 VD ACC/hit_3.csv,J3/J3 VD GYR/hit_3.csv,10166
J3/J3 Reves ACC/hit_8.csv,J3/J3 Reves GYR/hit_8.csv,10306
J3/J3 Reves ACC/hit_11.csv,J3/J3 Reves GYR/hit_11.csv,10466
J3/J3 Reves ACC/hit_10.csv,J3/J3 Reves GYR/hit_10.csv,10626
J3/J3 Smash ACC/hit_8.csv,J3/J3 Smash GYR/hit_8.csv,10786
J3/J3 VR ACC/hit_3.csv,J3/J3 VR GYR/hit_3.csv,10946
J3/J3 Dretes ACC/hit_4.csv,J3/J3 Dretes GYR/hit_4.csv,11106
J3/J3 Dretes ACC/hit_20.csv,J3/J3 Dretes GYR/hit_20.csv,11306
J3/J3 Reves ACC/hit_6.csv,J3/J3 Reves GYR/hit_6.csv,11451
J3/J3 Dretes ACC/hit_10.csv,J3/J3 Dretes GYR/hit_10.csv,11611
J3/J3 VR ACC/hit_12.csv,J3/J3 VR GYR/hit_12.csv,11762
J3/J3 VR ACC/hit_18.csv,J3/J3 VR GYR/hit_18.csv,11902
J3/J3 Reves ACC/hit_27.csv,J3/J3 Reves GYR/hit_27.csv,12042
J3/J3 VD ACC/hit_6.csv,J3/J3 VD GYR/hit_6.csv,12202
J3/J3 Reves ACC/hit_7.csv,J3/J3 Reves GYR/hit_7.csv,12307
J3/J3 Dretes ACC/hit_29.csv,J3/J3 Dretes GYR/hit_29.csv,12467
J3/J3 Smash ACC/hit_9.csv,J3/J3 Smash GYR/hit_9.csv,12604
J3/J3 Smash ACC/hit_5.csv,J3/J3 Smash GYR/hit_5.csv,12764
J3/J3 Dretes ACC/hit_12.csv,J3/J3 Dretes GYR/hit_12.csv,12924
J3/J3 Dretes ACC/hit_9.csv,J3/J3 Dretes GYR/hit_9.csv,13078
J3/J3 VD ACC/hit_7.csv,J3/J3 VD GYR/hit_7.csv,13221
J3/J3 Reves ACC/hit_17.csv,J3/J3 Reves GYR/hit_17.csv,13321
J3/J3 Reves ACC/hit_14.csv,J3/J3 Reves GYR/hit_14.csv,13481
J3/J3 Reves ACC/hit_29.csv,J3/J3 Reves GYR/hit_29.csv,13641
J3/J3 VD ACC/hit_11.csv,J3/J3 VD GYR/hit_11.csv,13801
J3/J3 Serve ACC/hit_13.csv,J3/J3 Serve GYR/hit_13.csv,13941
J3/J3 Serve ACC/hit_4.csv,J3/J3 Serve GYR/hit_4.csv,14101
J3/J3 Reves ACC/hit_9.csv,J3/J3 Reves GYR/hit_9.csv,14261
J3/J3 VD ACC/hit_4.csv,J3/J3 VD GYR/hit_4.csv,14421
J3/J3 Dretes ACC/hit_25.csv,J3/J3 Dretes GYR/hit_25.csv,14561
J3/J3 Dretes ACC/hit_3.csv,J3/J3 Dretes GYR/hit_3.csv,14720
J3/J3 Reves ACC/hit_24.csv,J3/J3 Reves GYR/hit_24.csv,14920
J3/J3 Serve ACC/hit_12.csv,J3/J3 Serve GYR/hit_12.csv,15080
J3/J3 Smash ACC/hit_14.csv,J3/J3 Smash GYR/hit_14.csv,15240
J3/J3 VR ACC/hit_2.csv,J3/J3 VR GYR/hit_2.csv,15400
END,END,15560
