acc_file,gyr_file,Line_Number
J2/J2 Dretes ACC/hit_12.csv,J2/J2 Dretes GYR/hit_12.csv,0
J2/J2 Reves ACC/hit_24.csv,J2/J2 Reves GYR/hit_24.csv,100
J2/J2 VR ACC/hit_14.csv,J2/J2 VR GYR/hit_14.csv,200
J2/J2 Reves ACC/hit_3.csv,J2/J2 Reves GYR/hit_3.csv,300
J2/J2 VR ACC/hit_12.csv,J2/J2 VR GYR/hit_12.csv,400
J2/J2 Serve ACC/hit_0.csv,J2/J2 Serve GYR/hit_0.csv,500
J2/J2 Reves ACC/hit_26.csv,J2/J2 Reves GYR/hit_26.csv,600
J2/J2 Dretes ACC/hit_6.csv,J2/J2 Dretes GYR/hit_6.csv,700
J2/J2 Serve ACC/hit_11.csv,J2/J2 Serve GYR/hit_11.csv,800
J2/J2 Serve ACC/hit_5.csv,J2/J2 Serve GYR/hit_5.csv,900
J2/J2 VD ACC/hit_4.csv,J2/J2 VD GYR/hit_4.csv,1000
J2/J2 Reves ACC/hit_19.csv,J2/J2 Reves GYR/hit_19.csv,1100
J2/J2 Serve ACC/hit_10.csv,J2/J2 Serve GYR/hit_10.csv,1200
J2/J2 Dretes ACC/hit_18.csv,J2/J2 Dretes GYR/hit_18.csv,1300
J2/J2 Reves ACC/hit_16.csv,J2/J2 Reves GYR/hit_16.csv,1400
J2/J2 Dretes ACC/hit_0.csv,J2/J2 Dretes GYR/hit_0.csv,1500
J2/J2 VD ACC/hit_8.csv,J2/J2 VD GYR/hit_8.csv,1600
J2/J2 VD ACC/hit_10.csv,J2/J2 VD GYR/hit_10.csv,1700
J2/J2 Reves ACC/hit_22.csv,J2/J2 Reves GYR/hit_22.csv,1800
J2/J2 Reves ACC/hit_27.csv,J2/J2 Reves GYR/hit_27.csv,1900
J2/J2 Reves ACC/hit_17.csv,J2/J2 Reves GYR/hit_17.csv,2000
J2/J2 Dretes ACC/hit_31.csv,J2/J2 Dretes GYR/hit_31.csv,2100
