acc_file,gyr_file,Line_Number
J5/J5 Dretes ACC/hit_15.csv,J5/J5 Dretes GYR/hit_15.csv,0
J5/J5 Smash ACC/hit_9.csv,J5/J5 Smash GYR/hit_9.csv,200
J5/J5 Dretes ACC/hit_22.csv,J5/J5 Dretes GYR/hit_22.csv,400
J5/J5 VR ACC/hit_2.csv,J5/J5 VR GYR/hit_2.csv,600
J5/J5 Reves ACC/hit_4.csv,J5/J5 Reves GYR/hit_4.csv,800
J5/J5 Reves ACC/hit_20.csv,J5/J5 Reves GYR/hit_20.csv,1000
J5/J5 Reves ACC/hit_21.csv,J5/J5 Reves GYR/hit_21.csv,1200
J5/J5 Serve ACC/hit_12.csv,J5/J5 Serve GYR/hit_12.csv,1400
J5/J5 Reves ACC/hit_3.csv,J5/J5 Reves GYR/hit_3.csv,1600
J5/J5 Smash ACC/hit_7.csv,J5/J5 Smash GYR/hit_7.csv,1800
J5/J5 Dretes ACC/hit_12.csv,J5/J5 Dretes GYR/hit_12.csv,2000
J5/J5 Reves ACC/hit_0.csv,J5/J5 Reves GYR/hit_0.csv,2200
J5/J5 Reves ACC/hit_1.csv,J5/J5 Reves GYR/hit_1.csv,2400
J5/J5 Serve ACC/hit_5.csv,J5/J5 Serve GYR/hit_5.csv,2600
J5/J5 VR ACC/hit_11.csv,J5/J5 VR GYR/hit_11.csv,2800
J5/J5 Reves ACC/hit_17.csv,J5/J5 Reves GYR/hit_17.csv,2960
J5/J5 VD ACC/hit_6.csv,J5/J5 VD GYR/hit_6.csv,3160
J5/J5 Serve ACC/hit_9.csv,J5/J5 Serve GYR/hit_9.csv,3320
J5/J5 Reves ACC/hit_25.csv,J5/J5 Reves GYR/hit_25.csv,3520
J5/J5 VD ACC/hit_7.csv,J5/J5 VD GYR/hit_7.csv,3720
J5/J5 Dretes ACC/hit_29.csv,J5/J5 Dretes GYR/hit_29.csv,3880
J5/J5 Reves ACC/hit_10.csv,J5/J5 Reves GYR/hit_10.csv,4080
J5/J5 Dretes ACC/hit_0.csv,J5/J5 Dretes GYR/hit_0.csv,4280
J5/J5 Smash ACC/hit_4.csv,J5/J5 Smash GYR/hit_4.csv,4480
J5/J5 Serve ACC/hit_4.csv,J5/J5 Serve GYR/hit_4.csv,4680
J5/J5 VR ACC/hit_9.csv,J5/J5 VR GYR/hit_9.csv,4880
J5/J5 VR ACC/hit_8.csv,J5/J5 VR GYR/hit_8.csv,5080
J5/J5 Dretes ACC/hit_18.csv,J5/J5 Dretes GYR/hit_18.csv,5280
J5/J5 Dretes ACC/hit_26.csv,J5/J5 Dretes GYR/hit_26.csv,5480
J5/J5 Dretes ACC/hit_25.csv,J5/J5 Dretes GYR/hit_25.csv,5680
J5/J5 VR ACC/hit_15.csv,J5/J5 VR GYR/hit_15.csv,5880
J5/J5 VR ACC/hit_13.csv,J5/J5 VR GYR/hit_13.csv,6040
J5/J5 Smash ACC/hit_2.csv,J5/J5 Smash GYR/hit_2.csv,6200
J5/J5 Reves ACC/hit_22.csv,J5/J5 Reves GYR/hit_22.csv,6400
J5/J5 VD ACC/hit_13.csv,J5/J5 VD GYR/hit_13.csv,6600
J5/J5 Serve ACC/hit_3.csv,J5/J5 Serve GYR/hit_3.csv,6760
J5/J5 Reves ACC/hit_13.csv,J5/J5 Reves GYR/hit_13.csv,6960
J5/J5 Dretes ACC/hit_19.csv,J5/J5 Dretes GYR/hit_19.csv,7160
J5/J5 Reves ACC/hit_28.csv,J5/J5 Reves GYR/hit_28.csv,7360
J5/J5 VR ACC/hit_1.csv,J5/J5 VR GYR/hit_1.csv,7524
J5/J5 Reves ACC/hit_26.csv,J5/J5 Reves GYR/hit_26.csv,7724
J5/J5 VD ACC/hit_11.csv,J5/J5 VD GYR/hit_11.csv,7924
J5/J5 VD ACC/hit_17.csv,J5/J5 VD GYR/hit_17.csv,8084
J5/J5 Smash ACC/hit_6.csv,J5/J5 Smash GYR/hit_6.csv,8244
J5/J5 VD ACC/hit_15.csv,J5/J5 VD GYR/hit_15.csv,8444
J5/J5 Dretes ACC/hit_3.csv,J5/J5 Dretes GYR/hit_3.csv,8604
J5/J5 Dretes ACC/hit_9.csv,J5/J5 Dretes GYR/hit_9.csv,8804
J5/J5 Dretes ACC/hit_4.csv,J5/J5 Dretes GYR/hit_4.csv,9004
J5/J5 Dretes ACC/hit_17.csv,J5/J5 Dretes GYR/hit_17.csv,9204
J5/J5 VD ACC/hit_0.csv,J5/J5 VD GYR/hit_0.csv,9404
J5/J5 Dretes ACC/hit_11.csv,J5/J5 Dretes GYR/hit_11.csv,9564
J5/J5 Dretes ACC/hit_13.csv,J5/J5 Dretes GYR/hit_13.csv,9764
J5/J5 VR ACC/hit_10.csv,J5/J5 VR GYR/hit_10.csv,9964
J5/J5 VD ACC/hit_5.csv,J5/J5 VD GYR/hit_5.csv,10124
J5/J5 Dretes ACC/hit_8.csv,J5/J5 Dretes GYR/hit_8.csv,10284
J5/J5 Dretes ACC/hit_5.csv,J5/J5 Dretes GYR/hit_5.csv,10484
J5/J5 VR ACC/hit_3.csv,J5/J5 VR GYR/hit_3.csv,10684
