acc_file,gyr_file,Line_Number
J6/J6 VR ACC/hit_3.csv,J6/J6 VR GYR/hit_3.csv,0
J6/J6 Smash ACC/hit_2.csv,J6/J6 Smash GYR/hit_2.csv,160
J6/J6 Dretes ACC/hit_14.csv,J6/J6 Dretes GYR/hit_14.csv,360
J6/J6 VR ACC/hit_6.csv,J6/J6 VR GYR/hit_6.csv,560
J6/J6 Reves ACC/hit_1.csv,J6/J6 Reves GYR/hit_1.csv,720
J6/J6 Smash ACC/hit_4.csv,J6/J6 Smash GYR/hit_4.csv,920
J6/J6 Dretes ACC/hit_23.csv,J6/J6 Dretes GYR/hit_23.csv,1120
J6/J6 Dretes ACC/hit_24.csv,J6/J6 Dretes GYR/hit_24.csv,1320
J6/J6 Dretes ACC/hit_28.csv,J6/J6 Dretes GYR/hit_28.csv,1520
J6/J6 Dretes ACC/hit_10.csv,J6/J6 Dretes GYR/hit_10.csv,1720
J6/J6 Reves ACC/hit_3.csv,J6/J6 Reves GYR/hit_3.csv,1920
J6/J6 VD ACC/hit_9.csv,J6/J6 VD GYR/hit_9.csv,2120
J6/J6 Reves ACC/hit_26.csv,J6/J6 Reves GYR/hit_26.csv,2280
J6/J6 Serve ACC/hit_8.csv,J6/J6 Serve GYR/hit_8.csv,2480
J6/J6 Reves ACC/hit_27.csv,J6/J6 Reves GYR/hit_27.csv,2680
J6/J6 Reves ACC/hit_22.csv,J6/J6 Reves GYR/hit_22.csv,2880
J6/J6 Reves ACC/hit_18.csv,J6/J6 Reves GYR/hit_18.csv,3080
J6/J6 Dretes ACC/hit_27.csv,J6/J6 Dretes GYR/hit_27.csv,3280
J6/J6 VR ACC/hit_5.csv,J6/J6 VR GYR/hit_5.csv,3480
J6/J6 Reves ACC/hit_20.csv,J6/J6 Reves GYR/hit_20.csv,3640
J6/J6 Reves ACC/hit_16.csv,J6/J6 Reves GYR/hit_16.csv,3840
J6/J6 VR ACC/hit_0.csv,J6/J6 VR GYR/hit_0.csv,4040
J6/J6 VD ACC/hit_15.csv,J6/J6 VD GYR/hit_15.csv,4151
J6/J6 VR ACC/hit_13.csv,J6/J6 VR GYR/hit_13.csv,4311
J6/J6 Dretes ACC/hit_1.csv,J6/J6 Dretes GYR/hit_1.csv,4471
J6/J6 VR ACC/hit_1.csv,J6/J6 VR GYR/hit_1.csv,4671
J6/J6 VR ACC/hit_18.csv,J6/J6 VR GYR/hit_18.csv,4831
J6/J6 Dretes ACC/hit_29.csv,J6/J6 Dretes GYR/hit_29.csv,4991
J6/J6 Dretes ACC/hit_15.csv,J6/J6 Dretes GYR/hit_15.csv,5191
J6/J6 Reves ACC/hit_24.csv,J6/J6 Reves GYR/hit_24.csv,5391
J6/J6 Dretes ACC/hit_4.csv,J6/J6 Dretes GYR/hit_4.csv,5591
J6/J6 Serve ACC/hit_5.csv,J6/J6 Serve GYR/hit_5.csv,5791
J6/J6 VR ACC/hit_11.csv,J6/J6 VR GYR/hit_11.csv,5991
J6/J6 Smash ACC/hit_7.csv,J6/J6 Smash GYR/hit_7.csv,6151
J6/J6 VR ACC/hit_17.csv,J6/J6 VR GYR/hit_17.csv,6351
J6/J6 Smash ACC/hit_0.csv,J6/J6 Smash GYR/hit_0.csv,6511
J6/J6 VR ACC/hit_19.csv,J6/J6 VR GYR/hit_19.csv,6711
J6/J6 Dretes ACC/hit_7.csv,J6/J6 Dretes GYR/hit_7.csv,6871
J6/J6 Smash ACC/hit_3.csv,J6/J6 Smash GYR/hit_3.csv,7071
J6/J6 VR ACC/hit_8.csv,J6/J6 VR GYR/hit_8.csv,7271
J6/J6 Smash ACC/hit_14.csv,J6/J6 Smash GYR/hit_14.csv,7431
J6/J6 Smash ACC/hit_5.csv,J6/J6 Smash GYR/hit_5.csv,7630
J6/J6 Dretes ACC/hit_20.csv,J6/J6 Dretes GYR/hit_20.csv,7830
J6/J6 VD ACC/hit_17.csv,J6/J6 VD GYR/hit_17.csv,8030
J6/J6 Smash ACC/hit_6.csv,J6/J6 Smash GYR/hit_6.csv,8190
J6/J6 Reves ACC/hit_25.csv,J6/J6 Reves GYR/hit_25.csv,8366
J6/J6 Reves ACC/hit_21.csv,J6/J6 Reves GYR/hit_21.csv,8566
J6/J6 Reves ACC/hit_8.csv,J6/J6 Reves GYR/hit_8.csv,8766
J6/J6 Smash ACC/hit_9.csv,J6/J6 Smash GYR/hit_9.csv,8966
J6/J6 VD ACC/hit_16.csv,J6/J6 VD GYR/hit_16.csv,9166
J6/J6 VR ACC/hit_20.csv,J6/J6 VR GYR/hit_20.csv,9326
J6/J6 Dretes ACC/hit_18.csv,J6/J6 Dretes GYR/hit_18.csv,9486
J6/J6 VD ACC/hit_10.csv,J6/J6 VD GYR/hit_10.csv,9686
J6/J6 Smash ACC/hit_8.csv,J6/J6 Smash GYR/hit_8.csv,9846
J6/J6 Dretes ACC/hit_8.csv,J6/J6 Dretes GYR/hit_8.csv,10046
J6/J6 Serve ACC/hit_14.csv,J6/J6 Serve GYR/hit_14.csv,10246
J6/J6 Serve ACC/hit_9.csv,J6/J6 Serve GYR/hit_9.csv,10446
J6/J6 Dretes ACC/hit_0.csv,J6/J6 Dretes GYR/hit_0.csv,10646
J6/J6 Reves ACC/hit_2.csv,J6/J6 Reves GYR/hit_2.csv,10846
J6/J6 VD ACC/hit_18.csv,J6/J6 VD GYR/hit_18.csv,11046
J6/J6 Reves ACC/hit_29.csv,J6/J6 Reves GYR/hit_29.csv,11206
J6/J6 VD ACC/hit_11.csv,J6/J6 VD GYR/hit_11.csv,11406
J6/J6 Serve ACC/hit_10.csv,J6/J6 Serve GYR/hit_10.csv,11566
J6/J6 Reves ACC/hit_28.csv,J6/J6 Reves GYR/hit_28.csv,11766
J6/J6 Dretes ACC/hit_9.csv,J6/J6 Dretes GYR/hit_9.csv,11966
J6/J6 VD ACC/hit_13.csv,J6/J6 VD GYR/hit_13.csv,12166
J6/J6 Reves ACC/hit_4.csv,J6/J6 Reves GYR/hit_4.csv,12326
J6/J6 Serve ACC/hit_2.csv,J6/J6 Serve GYR/hit_2.csv,12526
J6/J6 Dretes ACC/hit_6.csv,J6/J6 Dretes GYR/hit_6.csv,12726
J6/J6 Reves ACC/hit_23.csv,J6/J6 Reves GYR/hit_23.csv,12926
J6/J6 Dretes ACC/hit_22.csv,J6/J6 Dretes GYR/hit_22.csv,13126
J6/J6 VD ACC/hit_2.csv,J6/J6 VD GYR/hit_2.csv,13326
J6/J6 Serve ACC/hit_3.csv,J6/J6 Serve GYR/hit_3.csv,13486
J6/J6 VD ACC/hit_1.csv,J6/J6 VD GYR/hit_1.csv,13686
J6/J6 VR ACC/hit_4.csv,J6/J6 VR GYR/hit_4.csv,13846
J6/J6 VD ACC/hit_0.csv,J6/J6 VD GYR/hit_0.csv,14006
J6/J6 Dretes ACC/hit_5.csv,J6/J6 Dretes GYR/hit_5.csv,14166
J6/J6 VD ACC/hit_14.csv,J6/J6 VD GYR/hit_14.csv,14366
J6/J6 Serve ACC/hit_13.csv,J6/J6 Serve GYR/hit_13.csv,14526
J6/J6 Reves ACC/hit_14.csv,J6/J6 Reves GYR/hit_14.csv,14726
J6/J6 Reves ACC/hit_10.csv,J6/J6 Reves GYR/hit_10.csv,14926
J6/J6 Serve ACC/hit_1.csv,J6/J6 Serve GYR/hit_1.csv,15126
J6/J6 Reves ACC/hit_0.csv,J6/J6 Reves GYR/hit_0.csv,15326
J6/J6 VR ACC/hit_10.csv,J6/J6 VR GYR/hit_10.csv,15526
J6/J6 VR ACC/hit_16.csv,J6/J6 VR GYR/hit_16.csv,15686
J6/J6 Reves ACC/hit_17.csv,J6/J6 Reves GYR/hit_17.csv,15846
J6/J6 Reves ACC/hit_15.csv,J6/J6 Reves GYR/hit_15.csv,16046
J6/J6 Dretes ACC/hit_19.csv,J6/J6 Dretes GYR/hit_19.csv,16246
